backers_count,Blurb length,Blurb caps,Category,Category (parent only),country,campaign length (deadline - launched at,decision timing (state changed - launched at),fx_rate,goal,Name Length,Name Caps,spotlight,staff_pick,State,usd_pledged
94,111,3,"film & video/shorts""",film & video,GB,3024000,3024001,1.29135567,2950,39,4,TRUE,FALSE,1,4038.087431833
0,119,11,"food/small batch""",food,DE,2592000,2592001,1.1753395,150000,46,6,FALSE,FALSE,0,0.0
1199,135,3,"games/playing cards""",games,US,3120519,3120521,1,20000,59,12,TRUE,FALSE,1,53891.0
65,135,10,"music/punk""",music,US,2595600,2595600,1,3999,58,13,TRUE,TRUE,1,4113.0
523,114,3,"technology/diy electronics""",technology,US,2606578,2606578,1,40000,56,4,TRUE,FALSE,1,47395.0
57,135,19,"photography/photobooks""",photography,AT,2592000,2592000,1.1753395,12000,31,1,TRUE,FALSE,1,13332.359106850000
40,131,5,"fashion/childrenswear""",fashion,US,1814400,1814400,1,20000,59,10,TRUE,FALSE,1,20020.25
5,120,8,"music/rock""",music,US,1209600,1209600,1,750,24,4,TRUE,FALSE,1,760.0
1,123,1,"fashion/jewelry""",fashion,US,2592000,2592002,1,5000,26,3,FALSE,FALSE,0,20.0
0,124,9,"music/punk""",music,US,2592000,248481,1,1300,35,7,FALSE,FALSE,0,0.0
38,112,4,"film & video/documentary""",film & video,GB,2518489,2518489,1.29135567,2000,13,3,TRUE,FALSE,1,2785.38016824
14,135,8,"music/classical music""",music,US,2592000,2592000,1,3000,36,5,FALSE,FALSE,0,460.0
478,118,1,"film & video/documentary""",film & video,US,2592000,2592000,1,50000,42,11,TRUE,TRUE,1,54428.0
250,132,6,"publishing/art books""",publishing,US,3888000,3888001,1,15800,53,6,TRUE,TRUE,1,17079.0
8,128,1,"music/classical music""",music,GB,2592000,2592000,1.29135567,10813,37,11,FALSE,TRUE,0,253.19644945
198,135,5,"music/rock""",music,US,2592000,2592001,1,5000,38,7,TRUE,FALSE,1,7635.0
150,33,2,"games/playing cards""",games,US,3456000,3456001,1,5000,24,10,TRUE,FALSE,1,5012.0
15,92,1,"film & video/shorts""",film & video,US,3164708,3164708,1,1500,28,5,TRUE,FALSE,1,1636.0
160,75,3,"film & video/documentary""",film & video,US,2883402,2883403,1,30000,42,7,TRUE,TRUE,1,32161.0
26,134,4,"music/classical music""",music,CA,2592000,2592001,0.75574365,10000,58,6,TRUE,FALSE,1,9505.5098268
116,134,8,"film & video/documentary""",film & video,GB,1209600,1209600,1.29135567,2500,43,11,TRUE,FALSE,1,7066.65369275
2,133,5,"technology/web""",technology,CA,5184000,5184001,0.75574365,60000,9,3,FALSE,FALSE,0,1.5173793
18,72,2,"technology/diy electronics""",technology,US,2592000,2592022,1,3000,15,3,TRUE,FALSE,1,4410.0
164,110,3,"food/small batch""",food,US,2592000,2592002,1,15000,39,6,TRUE,TRUE,1,15675.0
20,88,14,"photography/photobooks""",photography,DE,5184000,5184001,1.1753395,4000,20,3,FALSE,FALSE,0,1620.4289938
458,99,16,"games/playing cards""",games,US,2592000,2592000,1,10000,38,5,TRUE,FALSE,1,22351.02
118,24,3,"film & video/documentary""",film & video,US,2592000,2592000,1,10000,16,3,TRUE,FALSE,1,10607.0
29,98,6,"food/small batch""",food,US,2592000,2592002,1,5000,47,7,FALSE,FALSE,0,1531.0
7,61,4,"film & video/fantasy""",film & video,GB,2764800,2764802,1.29135567,1000,31,20,FALSE,FALSE,0,350.15311812
1,130,1,"technology/web""",technology,FR,1728000,1728002,1.1753395,2000,9,2,FALSE,FALSE,0,1.13427554
53,135,5,"fashion/jewelry""",fashion,DE,3456000,3456000,1.1753395,15000,58,46,FALSE,FALSE,0,6214.48014136
14,40,0,"fashion/jewelry""",fashion,NZ,2592000,1676558,0.66873976,8000,22,5,FALSE,FALSE,0,1103.1399544
2,135,2,"dance/spaces""",dance,US,2592000,2592002,1,2500,41,6,FALSE,FALSE,0,11.0
83,117,1,"film & video/shorts""",film & video,GB,2592000,2592000,1.29135567,2250,16,3,TRUE,FALSE,1,3046.5113571
142,128,4,"music/rock""",music,US,2592000,2592001,1,10000,34,6,TRUE,FALSE,1,10670.0
77,134,8,"film & video/documentary""",film & video,GB,2482029,2482029,1.29135567,6000,59,24,TRUE,FALSE,1,10178.51619072
14,18,2,"music/rock""",music,US,2757941,2757941,1,1000,27,23,TRUE,FALSE,1,1142.0
2,29,1,"fashion/childrenswear""",fashion,US,2588400,2588400,1,1000,21,3,FALSE,FALSE,0,40.0
0,101,1,"technology/sound""",technology,US,2588400,456469,1,120000,32,5,FALSE,FALSE,0,0.0
115,133,2,"film & video/documentary""",film & video,US,3992563,3992563,1,5000,30,2,TRUE,FALSE,1,10981.0
1,118,1,"film & video/documentary""",film & video,US,486901,486901,1,1,22,7,TRUE,FALSE,1,1.0
21,133,1,"fashion/childrenswear""",fashion,US,2592000,2592001,1,2500,18,3,TRUE,FALSE,1,2726.0
